"epoch","train_loss","val_loss","train_acc","val_acc"
1,0.408693462610245,3.4521861076355,0.844270825386047,0.524999976158142
2,0.136077836155891,1.83114409446716,0.966145813465118,0.524999976158142
3,0.115715339779854,0.716875910758972,0.974479138851166,0.697916686534882
4,0.119216993451118,0.145259395241737,0.971875011920929,0.960416674613953
5,0.0569721609354019,0.186454147100449,0.989062488079071,0.90625
6,0.0559566244482994,0.0691371858119965,0.990625023841858,0.987500011920929
7,0.0491855889558792,0.241747185587883,0.990625023841858,0.914583325386047
8,0.066518671810627,0.106597915291786,0.983854174613953,0.981249988079071
9,0.078690193593502,0.178449884057045,0.983333349227905,0.952083349227905
10,0.0586296543478966,0.235358700156212,0.985937476158142,0.889583349227905
11,0.0754429399967194,0.0932931900024414,0.981249988079071,0.989583313465118
12,0.0446106120944023,0.0635690167546272,0.990104138851166,0.985416650772095
13,0.0501836091279984,0.0782700926065445,0.988541662693024,0.979166686534882
14,0.0591132640838623,0.113944418728352,0.988541662693024,0.972916662693024
15,0.0477626994252205,0.111291453242302,0.990625023841858,0.975000023841858
16,0.0316822491586208,0.118050657212734,0.991666674613953,0.975000023841858
17,0.0424204729497433,0.485669016838074,0.989583313465118,0.735416650772095
18,0.040747806429863,0.255973964929581,0.9921875,0.870833337306976
19,0.0477232448756695,0.253053069114685,0.993749976158142,0.868749976158142
20,0.0301411170512438,0.0630873814225197,0.993749976158142,0.989583313465118
21,0.016420328989625,0.0685942843556404,0.996354162693024,0.991666674613953
22,0.0218202546238899,0.21078297495842,0.994791686534882,0.916666686534882
23,0.0452245697379112,0.849631011486053,0.988020837306976,0.735416650772095
24,0.0543968006968498,0.167971938848495,0.988541662693024,0.916666686534882
25,0.0582923889160156,0.0848780572414398,0.985937476158142,0.970833361148834
26,0.0331865698099136,0.0812211856245995,0.994791686534882,0.995833337306976
27,0.0330679006874561,0.156217083334923,0.994270861148834,0.964583337306976
28,0.0414419323205948,0.126524180173874,0.991145849227905,0.970833361148834
29,0.0261680986732244,0.0709925964474678,0.993749976158142,0.983333349227905
30,0.0270880106836557,0.0547085367143154,0.995312511920929,0.991666674613953
31,0.0228490922600031,0.163988366723061,0.994791686534882,0.916666686534882
32,0.0119694834575057,0.0719797536730766,0.996874988079071,0.983333349227905
33,0.0163208525627851,0.0835475623607635,0.996874988079071,0.975000023841858
34,0.0173780284821987,0.145859852433205,0.994791686534882,0.977083325386047
35,0.0114118177443743,0.113043017685413,0.996354162693024,0.977083325386047
36,0.0110162794589996,0.0570686832070351,0.996354162693024,0.981249988079071
37,0.0118744904175401,0.126203238964081,0.996354162693024,0.975000023841858
38,0.0168890934437513,0.0684958398342133,0.995312511920929,0.989583313465118
39,0.00590073550119996,0.0897158086299896,0.998958349227905,0.985416650772095
40,0.0104285916313529,0.0873855128884315,0.997916638851166,0.989583313465118
41,0.0112914852797985,0.0715819820761681,0.997916638851166,0.989583313465118
42,0.00874664168804884,0.0866272822022438,0.998437523841858,0.989583313465118
43,0.0150857232511044,0.118396110832691,0.994791686534882,0.964583337306976
44,0.0140130911022425,0.11261423677206,0.996354162693024,0.975000023841858
45,0.0101252608001232,0.0706795826554298,0.996874988079071,0.991666674613953
